569108	relax.com.ua	145	1104	78	122428.57142857143	4  2 92  9  0 18  3  4  5  7  0  1	67 45 18  4  8  1  0  2	0	16	144	142	13   6 191  45  15  86  62  74 111 105  98 119  34
55504	vk.com	16317	358650	9270	380657.8295341923	2172 1249 2113 1960 2593 1658 1115  976  998  856  482  119   24    2	8468 3548 2003 1015  506  333  237  109   71   26    1	100000000	100000000	17285	13762	4511  8118 18134 21587 45369 30556 38959 47992 43156 42324 35066  5915   548    77    21
498438	te-st.ru	675	3831	407	285322.9166666667	2   8   5  29 272 295  15   3  19  27	230 196 116  72  39  15   0   5   2	38	38	926	525	4   35   24   69 1049 1418  103   87  198  169
268743	howtolearn.ru	0	2	0	0	0	0	0	100000000	0	0	0 0 0 0 2
332688	lady.mail.ru	1643	66953	893	527102.4390243902	33  11  98  37 115 212 270 196 250 363  38  10   8   2	395 399 367 199 146  69  34  21   6   7	100000000	100000000	3121	1419	106    77   526   418  1549  4870  8981  7814 15813 20084  2941   681   876   569     5
217739	forums.drom.ru	209	2396	86	264172.4137931034	26  7 23  9 13 21 37 17 36 10  9  0  1	73 40 45 22 16  4  9	0	0	334	216	68  19 130  65  90 133 297 373 360 273 319  31  29
135900	adme.ru	2384	47474	1553	274068.9655172414	96 130 229  96 177 297 416 410 269 130  92  36   6	842 688 456 207 112  47  20  11   0   1	35	35	3110	1513	537  843 1711 1059 1848 3532 7225 9704 6864 3923 4462 1716  845  819    2
506554	top10a.ru	554	13454	260	176578.1990521327	36  20  17  18  24  33  43  18 176  59  46  64	172 117  93  62  42  31  17  11   9	0	0	1063	489	86   32   41   53  158  523  491  500 5306 2028 1822 1849   11
121264	100-k-1.ru	1244	4481	1167	136756.0975609756	1160    5   16    7    2    9    5    0   10   15   12    3	1167   36   14   10    4    6    3    2    2	100000000	100000000	188	144	1239   23   58   38   17   75   84   97  252  648  640   66
179029	bolshoyvopros.ru	43858	587246	23947	236030.95155908412	16147  4769  5262  2005  3582  3137  2096  1602  1420  1285  1195   877   450    31	24980  9408  4780  2304  1224   569   351   121    73    32    14     2	0	31	37608	35301	26894 13573 27459 25078 53240 54392 50533 67651 66990 63529 54264 30572  8339   855    19
271989	igrootvet.ru	0	152	0	0	0	0	100000000	100000000	0	0	0  0  0  3  0  0  0  8 21 48 72
182128	branto.ru	233	4771	160	75160.71428571429	45 84 58 30  0  2  0  0  3  4  5  2	122  34  44  14   7   6   2   2   0   2	100000000	100000000	266	174	146  371  445 1067   65   23    4   55   47  277 1676  362
8965	rus.ans4.com	247	4891	111	102119.56521739131	20 23 37 28 31 31 18 12 12 22 13	80 75 28 31 10  9 10  4	100000000	100000000	397	254	42  58 204 296 371 424 347 643 742 938 560  10   9
73208	otvet.expert	1177	29522	512	240653.38645418326	58  64 202  92 156 107  88  90 105 126  87   2	295 324 232 162  75  40  24  12   6   7	100000000	100000000	2113	1399	174  222  674  690 1549 1539 1986 4775 5103 4809 6506  312    6
105559	voprosof.net	86	5797	30	246378.37837837837	20  0  5  0  4 10  6 21  0 11  9	31 25 10  5  6  6  3	20	23	132	125	47    8   22   20   84  506  374 1066  850 1476 1226   32
554431	znauka.ru	2	262	0	0	0 0 0 0 0 2	2	100000000	100000000	0	2	0   0   0   0   3   6  13  17 104 104  13
80915	tomnosti.info	41	189	11	27523.809523809523	0  0 30  4  0  3  2  0  2	11  9 20  1	35	35	52	62	0  0 58  5 14  5 14  9 23 20
559548	htn.su	676	2321	547	116560.0	572  50  37   0   8   4   5	607  46   6   8   0   2   4   3	15	17	137	312	881 124 190   7  84  71 105 148  26   6   3
17	hdrezka.ag	39846	264698	30764	278726.9551195915	16982  4340  5413  2727  3461  2509  1581  1033   702   591   446    61	27429  7262  3071  1286   496   182    64    42    11     3	100000000	100000000	20949	14943	28607 12414 19692 15744 30931 26408 21294 19363 16737 16512 14660  2374   109     0     7
